"period_pair","feature","coefficient","abs_coef","norm_coef","rank"
"3yr_vs_5yr","dev_Ability.to.grasp",2.66797811201921,2.66797811201921,1,1
"3yr_vs_5yr","diag_cardio",2.65506297266487,2.65506297266487,0.995159203407195,2
"3yr_vs_5yr","dev_Ability.to.reach",2.65244858279925,2.65244858279925,0.994179289121603,3
"3yr_vs_5yr","eeg_paroxysmal_abnormalities",2.49739632057038,2.49739632057038,0.936063271778593,4
"3yr_vs_5yr","dev_Ability.to.stand.on.one.leg",2.49313365565571,2.49313365565571,0.934465558178371,5
"3yr_vs_5yr","eeg_normal",2.37625435384455,2.37625435384455,0.89065736451868,6
"3yr_vs_5yr","dev_Ability.to.recognize.numbers",2.30341415115176,2.30341415115176,0.86335571524178,7
"3yr_vs_5yr","dev_Ability.to.vocalize",2.14003994916968,2.14003994916968,0.802120504485708,8
"3yr_vs_5yr","dev_Ability.to.babble",2.13688733342668,2.13688733342668,0.800938854708,9
"3yr_vs_5yr","sz_focal",2.11892937494913,2.11892937494913,0.79420793049365,10
"3yr_vs_5yr","dev_Ability.to.walk",2.03936694859783,2.03936694859783,0.764386686461373,11
"3yr_vs_5yr","dev_Ability.to.recognize.letters.of.the.alphabet",1.94875633110198,1.94875633110198,0.730424407277876,12
"3yr_vs_5yr","dev_Ability.to.use.short.phrase",1.82359009173142,1.82359009173142,0.683510139575797,13
"3yr_vs_5yr","dev_Ability.to.perform.hand.functions",1.77248703201327,1.77248703201327,0.664355912077478,14
"3yr_vs_5yr","sz_tonic",1.69833281203855,1.69833281203855,0.636561748534435,15
"3yr_vs_5yr","dev_Ability.to.use.at.least.one.word",1.56057877669813,1.56057877669813,0.584929377669083,16
"3yr_vs_5yr","dev_Ability.to.pull.to.stand",1.21172015083804,1.21172015083804,0.454171698553019,17
"3yr_vs_5yr","dev_Ability.to.use.sign.language",1.06976020753315,1.06976020753315,0.400962887481682,18
"3yr_vs_5yr","hosp_pneumonia",0.703492692427493,0.703492692427493,0.263680083902588,19
"3yr_vs_5yr","dev_Ability.to.cruise",0.555796715405094,0.555796715405094,0.208321317518025,20
"3yr_vs_5yr","dev_Ability.to.write",0.480135559331317,0.480135559331317,0.179962330713401,21
"3yr_vs_5yr","dev_Ability.to.recognize.spoken.word",0.448221132195299,0.448221132195299,0.168000303366833,22
"3yr_vs_5yr","dev_Ability.to.use.sentences",0.363515554866189,0.363515554866189,0.13625132576184,23
"3yr_vs_5yr","dev_Ability.to.crawl",0.25541795809753,0.25541795809753,0.095734652749539,24
"3yr_vs_5yr","hosp_sz",0.240976882295456,0.240976882295456,0.0903219112667598,25
"3yr_vs_5yr","dev_Ablity.to.identify.colors",0.23806306524444,0.23806306524444,0.0892297669804593,26
"3yr_vs_5yr","diag_gastro",0.199438304662672,0.199438304662672,0.0747526015165584,27
"3yr_vs_5yr","hosp_status",0.169510612977105,0.169510612977105,0.0635352337462821,28
"3yr_vs_5yr","dev_Ability.to.count.up.to.10",0.165345640447138,0.165345640447138,0.0619741367825538,29
